Name,Quantity,Part Number,Value,Tolerance,Description,Manufacturer
R1 (Stage 1),1,Standard,160KOhms,E24: 5%,Resistor, 
R2 (Stage 1),1,Standard,470KOhms,E24: 5%,Resistor, 
R3 (Stage 1),1,Standard,30Ohms,E24: 5%,Resistor, 
C1 (Stage 1),1,Standard,10nF,E24: 5%,Capacitor, 
C2 (Stage 1),1,Standard,10nF,E24: 5%,Capacitor, 
OpAmp (Stage 1),1,Standard,,,Ideal OpAmp, 
R1 (Stage 2),1,Standard,150KOhms,E24: 5%,Resistor, 
R2 (Stage 2),1,Standard,430KOhms,E24: 5%,Resistor, 
R3 (Stage 2),1,Standard,27Ohms,E24: 5%,Resistor, 
C1 (Stage 2),1,Standard,10nF,E24: 5%,Capacitor, 
C2 (Stage 2),1,Standard,10nF,E24: 5%,Capacitor, 
OpAmp (Stage 2),1,Standard,,,Ideal OpAmp, 
R1 (Stage 3),1,Standard,150KOhms,E24: 5%,Resistor, 
R2 (Stage 3),1,Standard,430KOhms,E24: 5%,Resistor, 
R3 (Stage 3),1,Standard,27Ohms,E24: 5%,Resistor, 
C1 (Stage 3),1,Standard,10nF,E24: 5%,Capacitor, 
C2 (Stage 3),1,Standard,10nF,E24: 5%,Capacitor, 
OpAmp (Stage 3),1,Standard,,,Ideal OpAmp, 
